Assays,Source,Gene,Tissue,Cell,Type of body mapping,,,,,,,,,,,,,,
APR_Nuclear_size_2_72hr_up,APR,NA,NA,NA,viability,,,,,,,,,,,,,,
APR_p53_activation_24hr_dn,APR,TP53,NA,NA,none,,,,,,,,,,,,,,
APR_p53_activation_24hr_up,APR,TP53,NA,NA,viability,,,,,,,,,,,,,,
APR_p53_activation_72hr_dn,APR,TP53,NA,NA,none,,,,,,,,,,,,,,
APR_p53_activation_72hr_up,APR,TP53,NA,NA,viability,,,,,,,,,,,,,,
APR_p-cJun_24hr_dn,APR,JUN,NA,NA,none,,,,,,,,,,,,,,
APR_p-cJun_24hr_up,APR,JUN,NA,NA,none,,,,,,,,,,,,,,
APR_p-cJun_72hr_dn,APR,JUN,NA,NA,none,,,,,,,,,,,,,,
APR_p-cJun_72hr_up,APR,JUN,NA,NA,none,,,,,,,,,,,,,,
APR_p-H2AX_24hr_dn,APR,H2AFX,NA,NA,none,,,,,,,,,,,,,,
APR_p-H2AX_24hr_up,APR,H2AFX,NA,NA,viability,,,,,,,,,,,,,,
APR_p-H2AX_72hr_dn,APR,H2AFX,NA,NA,none,,,,,,,,,,,,,,
APR_p-H2AX_72hr_up,APR,H2AFX,NA,NA,viability,,,,,,,,,,,,,,
APR_p-H3_24hr_dn,APR,H3F3A|HIST1H3A|HIST2H3A,NA,NA,none,,,,,,,,,,,,,,
APR_p-H3_24hr_up,APR,H3F3A|HIST1H3A|HIST2H3A,NA,NA,viability,,,,,,,,,,,,,,
APR_p-H3_72hr_dn,APR,H3F3A|HIST1H3A|HIST2H3A,NA,NA,none,,,,,,,,,,,,,,
APR_p-H3_72hr_up,APR,H3F3A|HIST1H3A|HIST2H3A,NA,NA,viability,,,,,,,,,,,,,,
APR_Tubulin_microtubule_stability_24hr_dn,APR,TUBA1A|TUBA4A|TUBA3C|TUBA1B|TUBA8|TUBA1C|TUBA3E|TUBA3D,NA,NA,viability,,,,,,,,,,,,,,
APR_Tubulin_microtubule_stability_24hr_up,APR,TUBA1A|TUBA4A|TUBA3C|TUBA1B|TUBA8|TUBA1C|TUBA3E|TUBA3D,NA,NA,viability,,,,,,,,,,,,,,
APR_Tubulin_microtubule_stability_72hr_dn,APR,TUBA1A|TUBA4A|TUBA3C|TUBA1B|TUBA8|TUBA1C|TUBA3E|TUBA3D,NA,NA,viability,,,,,,,,,,,,,,
APR_Tubulin_microtubule_stability_72hr_up,APR,TUBA1A|TUBA4A|TUBA3C|TUBA1B|TUBA8|TUBA1C|TUBA3E|TUBA3D,NA,NA,viability,,,,,,,,,,,,,,
ATG_Ahr_CIS_dn,ATG,AHR,liver,HepG2,none,,,,,,,,,,,,,,
ATG_Ahr_CIS_up,ATG,AHR,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_AP_1_CIS_dn,ATG,FOS|JUN,liver,HepG2,none,,,,,,,,,,,,,,
ATG_AP_1_CIS_up,ATG,FOS|JUN,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_AP_2_CIS_dn,ATG,TFAP2A|TFAP2B|TFAP2D,liver,HepG2,none,,,,,,,,,,,,,,
ATG_AP_2_CIS_up,ATG,TFAP2A|TFAP2B|TFAP2D,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_AR_TRANS_dn,ATG,AR|AR|AR|AR,liver,HepG2,none,,,,,,,,,,,,,,
ATG_AR_TRANS_up,ATG,AR,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_BRE_CIS_dn,ATG,SMAD1,liver,HepG2,none,,,,,,,,,,,,,,
ATG_BRE_CIS_up,ATG,SMAD1,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_C_EBP_CIS_dn,ATG,CEBPB,liver,HepG2,none,,,,,,,,,,,,,,
ATG_C_EBP_CIS_up,ATG,CEBPB,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_CAR_TRANS_dn,ATG,NR1I3,liver,HepG2,none,,,,,,,,,,,,,,
ATG_CAR_TRANS_up,ATG,NR1I3,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_CMV_CIS_dn,ATG,NA,liver,HepG2,none,,,,,,,,,,,,,,
ATG_CMV_CIS_up,ATG,NA,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_COUP_TF1_TRANS2_dn,ATG,NR2F1,liver,HepG2,none,,,,,,,,,,,,,,
ATG_COUP_TF1_TRANS2_up,ATG,NR2F1,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_COUP_TF2_TRANS2_dn,ATG,NR2F2,liver,HepG2,none,,,,,,,,,,,,,,
ATG_COUP_TF2_TRANS2_up,ATG,NR2F2,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_CRE_CIS_dn,ATG,CREB3,liver,HepG2,none,,,,,,,,,,,,,,
ATG_CRE_CIS_up,ATG,CREB3,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_DAX1_TRANS2_dn,ATG,NR0B1,liver,HepG2,none,,,,,,,,,,,,,,
ATG_DAX1_TRANS2_up,ATG,NR0B1,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_DR4_LXR_CIS_dn,ATG,NR1H2|NR1H3,liver,HepG2,none,,,,,,,,,,,,,,
ATG_DR4_LXR_CIS_up,ATG,NR1H2|NR1H3,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_DR5_CIS_dn,ATG,RARA|RARB|RARG,liver,HepG2,none,,,,,,,,,,,,,,
ATG_DR5_CIS_up,ATG,RARA|RARB|RARG,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_E_Box_CIS_dn,ATG,USF1,liver,HepG2,none,,,,,,,,,,,,,,
ATG_E_Box_CIS_up,ATG,USF1,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_E2F_CIS_dn,ATG,E2F1,liver,HepG2,none,,,,,,,,,,,,,,
ATG_E2F_CIS_up,ATG,E2F1,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_EAR2_TRANS2_dn,ATG,NR2F6,liver,HepG2,none,,,,,,,,,,,,,,
ATG_EAR2_TRANS2_up,ATG,NR2F6,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_EGR_CIS_dn,ATG,EGR1,liver,HepG2,none,,,,,,,,,,,,,,
ATG_EGR_CIS_up,ATG,EGR1,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_ERa_TRANS_dn,ATG,ESR1|ESR1|ESR1|ESR1,liver,HepG2,none,,,,,,,,,,,,,,
ATG_ERa_TRANS_up,ATG,ESR1,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_ERb_TRANS2_dn,ATG,ESR2,liver,HepG2,none,,,,,,,,,,,,,,
ATG_ERb_TRANS2_up,ATG,ESR2,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_ERE_CIS_dn,ATG,ESR1|ESR1|ESR1|ESR1,liver,HepG2,none,,,,,,,,,,,,,,
ATG_ERE_CIS_up,ATG,ESR1,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_ERRa_TRANS_dn,ATG,ESRRA,liver,HepG2,none,,,,,,,,,,,,,,
ATG_ERRa_TRANS_up,ATG,ESRRA,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_ERRb_TRANS2_dn,ATG,ESRRB,liver,HepG2,none,,,,,,,,,,,,,,
ATG_ERRb_TRANS2_up,ATG,ESRRB,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_ERRg_TRANS_dn,ATG,ESRRG,liver,HepG2,none,,,,,,,,,,,,,,
ATG_ERRg_TRANS_up,ATG,ESRRG,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_Ets_CIS_dn,ATG,ETS1,liver,HepG2,none,,,,,,,,,,,,,,
